Fecha,Temporada,Jornada,Equipo1,Equipo2,Goles1,Goles2
08/09/1979,1979-1980,1,Betis,Rayo Vallecano,1,2
08/09/1979,1979-1980,1,Español,AD Almería,5,2
08/09/1979,1979-1980,1,Sporting de Gijón,Sevilla,2,1
08/09/1979,1979-1980,1,Real Sociedad,Las Palmas,1,0
15/09/1979,1981-1982,2,Athletic Club,Real Sociedad,0,1
15/09/1979,1981-1982,2,Atlético de Madrid,Sporting de Gijón,1,3
15/09/1979,1981-1982,2,Barcelona,Betis,5,0
15/09/1979,1981-1982,2,Las Palmas,Hércules,2,1
15/09/1979,1981-1982,2,CD Málaga,Español,1,2
16/09/1979,1981-1982,2,Rayo Vallecano,Real Madrid,1,2
16/09/1979,1981-1982,2,Sevilla,Burgos,6,1
22/09/1979,1981-1982,3,Español,Zaragoza,2,0
23/09/1979,1981-1982,3,Betis,AD Almería,0,0
23/09/1979,1981-1982,3,Burgos,Atlético de Madrid,1,1